,,,,,,,,,,,,
,INFORMATIVNÍ ČÁST,,INFORMATIVNÍ ČÁST,,,,,,MĚNITELNÁ ČÁST,,,
,id,zaměření,lokalita,typ tábora,termín,stav,aktuální cena,,základní cena,zlevněná cena,týdenní navýšení,kapacita
,#2769,LETNÍ ŠKOLKA,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,2. týden (9. 7. 2018 - 14. 7. 2018),aktivní,,,1750,1250,15,9
,#2768,LETNÍ ŠKOLKA,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,3. týden (15. 7. 2018 - 20. 7. 2018),aktivní,,,1750,1250,15,11
,#2767,LETNÍ ŠKOLKA,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,4. týden (23. 7. 2018 - 28. 7. 2018),aktivní,,,1750,1250,15,11
,#2766,LETNÍ ŠKOLKA,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,5. týden (30. 7. 2018 - 4. 8. 2018),aktivní,,,1750,1250,15,9
,#2765,LETNÍ ŠKOLKA,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,6. týden (6. 8. 2018 - 11. 8. 2018),aktivní,,,1750,1250,15,10
,#2764,LETNÍ ŠKOLKA,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,7. týden (13. 8. 2018 - 18. 8. 2018),aktivní,,,1750,1250,15,8
,#2763,LETNÍ ŠKOLKA,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,8. týden (20. 8. 2018 - 25. 8. 2018),aktivní,,,1750,1250,15,7
,#2762,LETNÍ ŠKOLKA,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,9. týden (27. 8. 2018 - 31. 8. 2018),aktivní,,,1750,1250,15,10
,#2772,PODZIMNÍ TÁBOR,LANWOOD - LANŠKROUN,POBYTOVÝ,září (28. 9. 2018 - 30. 9. 2018),aktivní,,,1700,990,15,38
,#2771,PODZIMNÍ TÁBOR,LANWOOD - LANŠKROUN,POBYTOVÝ,říjen (27. 10. 2018 - 30. 10. 2018),aktivní,,,2100,1250,15,33
,#2782,TÁBOR PRO HANDICAPOVANÉ,LANWOOD - LANŠKROUN,POBYTOVÝ,červen (25. 6. 2018 - 29. 6. 2018),aktivní,,,4100,2900,37,35
,#2781,TÁBOR PRO HANDICAPOVANÉ,LANWOOD - LANŠKROUN,POBYTOVÝ,září (3. 9. 2018 - 7. 9. 2018),aktivní,,,4100,2900,37,33
,#2806,FITNESS DANCE CAMP,UP HURT - LANŠKROUN,POBYTOVÝ,4. týden (22. 7. 2018 - 27. 7. 2018),aktivní,,,5100,3700,41,28
,#2805,FITNESS DANCE CAMP,UP HURT - LANŠKROUN,POBYTOVÝ,5. týden (29. 7 . 2018 - 3. 8. 2018),aktivní,,,5100,3700,41,31
,#2804,FITNESS DANCE CAMP,CHORVATSKO,POBYTOVÝ,7. týden (10. 8 . 2018 - 19. 8. 2018),aktivní,,,9100,6900,45,43
,#2814,TÁBOR PRO RODIČE S DĚTMI,LANWOOD - LANŠKROUN,POBYTOVÝ,1. týden (30. 6. 2018 - 4. 7. 2018),aktivní,,,2700,1900,25,27
,#486,TÁBOR PRO RODIČE S DĚTMI,UP HURT - LANŠKROUN,POBYTOVÝ,6. týden (6. 8. 2018 - 10. 8. 2018),aktivní,,,3500,2600,30,33
,#2815,TÁBOR PRO DOSPĚLÉ,LANWOOD - LANŠKROUN,POBYTOVÝ,1. týden (30. 6. 2018 - 4. 7. 2018),aktivní,,,3100,2100,30,24
,#467,TÁBOR PRO DOSPĚLÉ,UP HURT - LANŠKROUN,POBYTOVÝ,9. týden (27. 8. 2018 - 31. 8. 2018),aktivní,,,3600,2600,30,22
,#2819,PÁRTY VÍKEND ,LANWOOD - LANŠKROUN,POBYTOVÝ,září (14. 9. 2018 - 16. 9. 2018),aktivní,,,1250,790,11,37
,#2822,TÁBOR PRO HANDICAPOVANÉ,LANWOOD - LANŠKROUN,POBYTOVÝ,červen (25. 6. 2018 - 29. 6. 2018),aktivní,,,4100,2900,37,19
,#2821,TÁBOR PRO HANDICAPOVANÉ,LANWOOD - LANŠKROUN,POBYTOVÝ,září (3. 9. 2018 - 7. 9. 2018),aktivní,,,4100,2900,37,18
