,,,,,,,,,,,,
,INFORMATIVNÍ ČÁST,,INFORMATIVNÍ ČÁST,,,,,,MĚNITELNÁ ČÁST,,,
,id,zaměření,lokalita,typ tábora,termín,stav,aktuální cena,,základní cena,zlevněná cena,týdenní navýšení,kapacita
,#2321,PARKOUR CAMP,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,6. týden (6. 8. 2018 - 11. 8. 2018),aktivní,,,2700,1900,25,4
,#2319,PARKOUR CAMP,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,7. týden (13. 8. 2018 - 18. 8. 2018),aktivní,,,2700,1900,25,5
,#2317,PARKOUR CAMP,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,8. týden (20. 8. 2018 - 25. 8. 2018),aktivní,,,2700,1900,25,4
,#2333,SKATE CAMP,LANWOOD - LANŠKROUN,POBYTOVÝ,4. týden (22. 7. 2018 - 29. 7. 2018),aktivní,,,5100,3700,41,21
,#2335,SKATE CAMP,LANWOOD - LANŠKROUN,POBYTOVÝ,7. týden (12. 8. 2018 - 19. 8. 2018),aktivní,,,5100,3700,41,18
,#2334,SKATE CAMP,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,4. týden ( 23. 7. 2018 - 28. 7. 2018),aktivní,,,2700,1900,25,4
,#2336,SKATE CAMP,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,8. týden (20. 8. 2018 - 25. 8. 2018),aktivní,,,2700,1900,25,5
,#2338,SCOOTER CAMP,LANWOOD - LANŠKROUN,POBYTOVÝ,3. týden (15. 7. 2018 - 22. 7. 2018),aktivní,,,5100,3700,41,20
,#2340,SCOOTER CAMP,LANWOOD - LANŠKROUN,POBYTOVÝ,8. týden (19. 8. 2018 - 26. 8. 2018),aktivní,,,5100,3700,41,16
,#2339,SCOOTER CAMP,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,3. týden (16. 7. 2018 - 21. 7. 2018),aktivní,,,2700,1900,25,5
,#2341,SCOOTER CAMP,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,7. týden (13. 8. 2018 - 18. 8. 2018),aktivní,,,2700,1900,25,4
,#2342,FOOTBALL CAMP,LANWOOD - LANŠKROUN,POBYTOVÝ,2. týden (8. 7. 2018 - 15. 7. 2018),aktivní,,,4100,2900,37,19
,#2344,FOOTBALL CAMP,LANWOOD - LANŠKROUN,POBYTOVÝ,6. týden (5. 8. 2018 - 12. 8. 2018),aktivní,,,4100,2900,37,18
,#2343,FOOTBALL CAMP,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,2. týden (9. 7. 2018 - 14. 7. 2018),aktivní,,,2100,1500,19,5
,#2345,FOOTBALL CAMP,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,6. týden (6. 8. 2018 - 11. 8. 2018),aktivní,,,2100,1500,19,6
,#2348,RYBÁŘSKÝ TÁBOR,LANWOOD - LANŠKROUN,POBYTOVÝ,2. týden (8. 7. 2018 - 15. 7. 2018),aktivní,,,4600,3300,39,15
,#2350,RYBÁŘSKÝ TÁBOR,LANWOOD - LANŠKROUN,POBYTOVÝ,8. týden (19. 8. 2018 - 26. 8. 2018),aktivní,,,4600,3300,39,16
,#2349,RYBÁŘSKÝ TÁBOR,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,2. týden (9. 7. 2018 - 14. 7. 2018),aktivní,,,2400,1700,22,4
,#2351,RYBÁŘSKÝ TÁBOR,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,8. týden (20. 8. 2018 - 25. 8. 2018),aktivní,,,2400,1700,22,4
,#2353,ŘEMESLNÝ TÁBOR,LANWOOD - LANŠKROUN,POBYTOVÝ,6. týden (5. 8. 2018 - 12. 8. 2018),aktivní,,,4100,2900,37,12
,#2354,ŘEMESLNÝ TÁBOR,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,6. týden (6. 8. 2018 - 11. 8. 2018),aktivní,,,2100,1500,19,5
,#2357,MODELÁŘSKÝ TÁBOR,LANWOOD - LANŠKROUN,POBYTOVÝ,4. týden (22. 7. 2018 - 29. 7. 2018),aktivní,,,4600,3300,39,4
,#2358,MODELÁŘSKÝ TÁBOR,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,4. týden ( 23. 7. 2018 - 28. 7. 2018),aktivní,,,2400,1700,22,4
,#2360,TÁBOR S RC MODELY,LANWOOD - LANŠKROUN,POBYTOVÝ,3. týden (15. 7. 2018 - 22. 7. 2018),aktivní,,,4600,3300,39,16
,#2361,TÁBOR S RC MODELY,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,3. týden (16. 7. 2018 - 21. 7. 2018),aktivní,,,2400,1700,22,5
,#2365,LOLKO CAMP,LANWOOD - LANŠKROUN,POBYTOVÝ,5. týden (29. 7. 2018 - 5. 8. 2018),aktivní,,,4100,2900,37,12
,#2366,LOLKO CAMP,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,5. týden (30. 7. 2018 - 4. 8. 2018),aktivní,,,2100,1500,19,3
,#2385,FITNESS DANCE CAMP,LANWOOD - LANŠKROUN,POBYTOVÝ,4. týden (22. 7. 2018 - 29. 7. 2018),aktivní,,,5100,3700,41,21
,#2386,FITNESS DANCE CAMP,LANWOOD - LANŠKROUN,POBYTOVÝ,5. týden (29. 7. 2018 - 5. 8. 2018),aktivní,,,5100,3700,41,19
,#2388,FITNESS DANCE CAMP,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,4. týden ( 23. 7. 2018 - 28. 7. 2018),aktivní,,,2700,1900,25,6
,#2387,FITNESS DANCE CAMP,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,5. týden (30. 7. 2018 - 4. 8. 2018),aktivní,,,2700,1900,25,7
,#2877,DANCEHALL CAMP,LANWOOD - LANŠKROUN,POBYTOVÝ,2. týden (8. 7. 2018 - 15. 7. 2018),aktivní,,,5100,3700,41,21
,#3004,DANCEHALL CAMP,LANWOOD - LANŠKROUN,POBYTOVÝ,6. týden (5. 8. 2018 - 12. 8. 2018),aktivní,,,5100,3700,41,16
,#2876,DANCEHALL CAMP,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,2. týden (9. 7. 2018 - 14. 7. 2018),aktivní,,,2700,1900,25,6
,#3003,DANCEHALL CAMP,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,6. týden (6. 8. 2018 - 11. 8. 2018),aktivní,,,2700,1900,25,5
,#2402,POLE DANCE CAMP,LANWOOD - LANŠKROUN,POBYTOVÝ,3. týden (15. 7. 2018 - 22. 7. 2018),aktivní,,,5100,3700,41,19
,#2401,POLE DANCE CAMP,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,3. týden (16. 7. 2018 - 21. 7. 2018),aktivní,,,2700,1900,25,5
,#2414,CONTEMPORARY DANCE CAMP,LANWOOD - LANŠKROUN,POBYTOVÝ,x,x,,,,,,
,#2413,CONTEMPORARY DANCE CAMP,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,x,x,,,,,,
,#2431,MAŽORETKOVÝ TÁBOR,LANWOOD - LANŠKROUN,POBYTOVÝ,7. týden (12. 8. 2018 - 19. 8. 2018),aktivní,,,4100,2900,37,21
,#2430,MAŽORETKOVÝ TÁBOR,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,7. týden (13. 8. 2018 - 18. 8. 2018),aktivní,,,2100,1500,19,6
,#3006,VOLEJBALOVÝ TÁBOR,LANWOOD - LANŠKROUN,POBYTOVÝ,5. týden (29. 7. 2018 - 5. 8. 2018),aktivní,,,4100,2900,37,22
,#2419,VOLEJBALOVÝ TÁBOR,LANWOOD - LANŠKROUN,POBYTOVÝ,8. týden (19. 8. 2018 - 26. 8. 2018),aktivní,,,4100,2900,37,22
,#3005,VOLEJBALOVÝ TÁBOR,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,5. týden (30. 7. 2018 - 4. 8. 2018),aktivní,,,2100,1500,19,7
,#2418,VOLEJBALOVÝ TÁBOR,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,8. týden (20. 8. 2018 - 25. 8. 2018),aktivní,,,2100,1500,19,5
,#309,MODELINGOVÝ TÁBOR,LANWOOD - LANŠKROUN,POBYTOVÝ,1. týden (1. 7. 2018 - 8. 7. 2018),aktivní,,,4600,3300,39,15
,#2456,MODELINGOVÝ TÁBOR,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,1. týden (2. 7. 2018 - 7. 7. 2018),aktivní,,,2400,1700,22,3
,#483,FILMOVÝ TÁBOR,LANWOOD - LANŠKROUN,POBYTOVÝ,1. týden (1. 7. 2018 - 8. 7. 2018),aktivní,,,5100,3700,41,16
,#2459,FILMOVÝ TÁBOR,LANWOOD - LANŠKROUN,POBYTOVÝ,8. týden (19. 8. 2018 - 26. 8. 2018),aktivní,,,5100,3700,41,14
,#2460,FILMOVÝ TÁBOR,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,1. týden (2. 7. 2018 - 7. 7. 2018),aktivní,,,2700,1900,25,4
,#2458,FILMOVÝ TÁBOR,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,8. týden (20. 8. 2018 - 25. 8. 2018),aktivní,,,2700,1900,25,4
,#2493,YOUTUBE CAMP,LANWOOD - LANŠKROUN,POBYTOVÝ,x,x,,,,,,
,#464,YOUTUBE CAMP,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,x,x,,,,,,
,#543,HUDEBNÍ TÁBOR,LANWOOD - LANŠKROUN,POBYTOVÝ,4. týden (22. 7. 2018 - 29. 7. 2018),aktivní,,,4600,3300,39,19
,#3075,HUDEBNÍ TÁBOR,LANWOOD - LANŠKROUN,POBYTOVÝ,7. týden (12. 8. 2018 - 19. 8. 2018),aktivní,,,4600,3300,39,17
,#2473,HUDEBNÍ TÁBOR,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,4. týden ( 23. 7. 2018 - 28. 7. 2018),aktivní,,,2400,1700,22,4
