,,,,,,,,,,,,,
,INFORMATIVNÍ ČÁST,,INFORMATIVNÍ ČÁST,,,,,,,MĚNITELNÁ ČÁST,,,
,id,zaměření,lokalita,typ tábora,termín,stav,aktuální cena,aktuální kapacita,,základní cena,zlevněná cena,týdenní navýšení,celková kapacita
,#2335,SKATE CAMP,Lanškroun,Pobytový tábor,7. týden (12. 8. 2018 - 19. 8. 2018),aktivní,4356,14,,5100,3700,41,16
,#2336,SKATE CAMP,Lanškroun,Příměstský tábor,7. týden (13. 8. 2018 - 18. 8. 2018),aktivní,2300,5,,2700,1900,25,4
,#2338,SCOOTER CAMP,Lanškroun,Pobytový tábor,3. týden (15. 7. 2018 - 22. 7. 2018),aktivní,4356,0,,5100,3700,41,32
,#2339,SCOOTER CAMP,Lanškroun,Příměstský tábor,3. týden (16. 7. 2018 - 21. 7. 2018),aktivní,2300,5,,2700,1900,25,4
,#2340,SCOOTER CAMP,Lanškroun,Pobytový tábor,8. týden (19. 8. 2018 - 26. 8. 2018),aktivní,4356,13,,5100,3700,41,16
,#2341,SCOOTER CAMP,Lanškroun,Příměstský tábor,8. týden (20. 8. 2018 - 25. 8. 2018),aktivní,2300,4,,2700,1900,25,4
,#2342,FOOTBALL CAMP,Lanškroun,Pobytový tábor,2. týden (8. 7. 2018 - 15. 7. 2018),aktivní,3492,17,,4100,2900,37,16
,#2344,FOOTBALL CAMP,Lanškroun,Pobytový tábor,6. týden (5. 8. 2018 - 12. 8. 2018),aktivní,3492,18,,4100,2900,37,16
,#2343,FOOTBALL CAMP,Lanškroun,Příměstský tábor,2. týden (9. 7. 2018 - 14. 7. 2018),aktivní,1804,5,,2100,1500,19,4
,#2345,FOOTBALL CAMP,Lanškroun,Příměstský tábor,6. týden (6. 8. 2018 - 11. 8. 2018),aktivní,1804,6,,2100,1500,19,4
,#2348,RYBÁŘSKÝ TÁBOR,Lanškroun,Pobytový tábor,2. týden (8. 7. 2018 - 15. 7. 2018),aktivní,3924,12,,4600,3300,39,16
,#2349,RYBÁŘSKÝ TÁBOR,Lanškroun,Příměstský tábor,2. týden (9. 7. 2018 - 14. 7. 2018),aktivní,2052,4,,2400,1700,22,4
,#2350,RYBÁŘSKÝ TÁBOR,Lanškroun,Pobytový tábor,8. týden (19. 8. 2018 - 26. 8. 2018),aktivní,3924,16,,4600,3300,39,16
,#2351,RYBÁŘSKÝ TÁBOR,Lanškroun,Příměstský tábor,8. týden (20. 8. 2018 - 25. 8. 2018),aktivní,2052,4,,2400,1700,22,4
,#2353,ŘEMESLNÝ TÁBOR,Lanškroun,Pobytový tábor,6. týden (5. 8. 2018 - 12. 8. 2018),aktivní,3492,10,,4100,2900,37,8
,#2354,ŘEMESLNÝ TÁBOR,Lanškroun,Příměstský tábor,6. týden (6. 8. 2018 - 11. 8. 2018),aktivní,1804,5,,2100,1500,19,4
,#2357,MODELÁŘSKÝ TÁBOR,Lanškroun,Pobytový tábor,4. týden (22. 7. 2018 - 29. 7. 2018),aktivní,3924,3,,4600,3300,39,8
,#2358,MODELÁŘSKÝ TÁBOR,Lanškroun,Příměstský tábor,4. týden (23. 7. 2018 - 28. 7. 2018),aktivní,2052,4,,2400,1700,22,4
,#2360,TÁBOR S RC MODELY,Lanškroun,Pobytový tábor,3. týden (15. 7. 2018 - 22. 7. 2018),aktivní,3924,16,,4600,3300,39,8
,#2361,TÁBOR S RC MODELY,Lanškroun,Příměstský tábor,3. týden (16. 7. 2018 - 21. 7. 2018),aktivní,2052,5,,2400,1700,22,4
,#2365,LOLKO CAMP,Lanškroun,Pobytový tábor,5. týden (29. 7. 2018 - 5. 8. 2018),aktivní,3492,12,,4100,2900,37,8
,#2366,LOLKO CAMP,Lanškroun,Příměstský tábor,5. týden (30. 7. 2018 - 4. 8. 2018),aktivní,1804,3,,2100,1500,19,4
,#2385,FITNESS DANCE CAMP,Lanškroun,Pobytový tábor,4. týden (22. 7. 2018 - 29. 7. 2018),aktivní,4356,21,,5100,3700,41,16
,#2386,FITNESS DANCE CAMP,Lanškroun,Pobytový tábor,5. týden (29. 7. 2018 - 5. 8. 2018),aktivní,4356,17,,5100,3700,41,16
,#2388,FITNESS DANCE CAMP,Lanškroun,Příměstský tábor,4. týden (23. 7. 2018 - 28. 7. 2018),aktivní,2300,6,,2700,1900,25,4
,#2387,FITNESS DANCE CAMP,Lanškroun,Příměstský tábor,5. týden (30. 7. 2018 - 4. 8. 2018),aktivní,2300,7,,2700,1900,25,4
,#2877,DANCEHALL CAMP,Lanškroun,Pobytový tábor,2. týden (8. 7. 2018 - 15. 7. 2018),aktivní,4356,18,,5100,3700,41,16
,#2876,DANCEHALL CAMP,Lanškroun,Příměstský tábor,2. týden (9. 7. 2018 - 14. 7. 2018),aktivní,2300,6,,2700,1900,25,4
,#3004,DANCEHALL CAMP,Lanškroun,Pobytový tábor,6. týden (5. 8. 2018 - 12. 8. 2018),aktivní,4356,16,,5100,3700,41,16
,#3003,DANCEHALL CAMP,Lanškroun,Příměstský tábor,6. týden (6. 8. 2018 - 11. 8. 2018),aktivní,2300,5,,2700,1900,25,4
,#2401,POLE DANCE CAMP,Lanškroun,Příměstský tábor,3. týden (16. 7. 2018 - 21. 7. 2018),aktivní,2300,5,,2700,1900,25,4
,#2402,POLE DANCE CAMP,Lanškroun,Pobytový tábor,3. týden (15. 7. 2018 - 22. 7. 2018),aktivní,4356,17,,5100,3700,41,8
,#2413,CONTEMPORARY DANCE CAMP,Lanškroun,Příměstský tábor,3. týden (16. 7. 2018 - 21. 7. 2018),x,0,0,,,,,
,#2414,CONTEMPORARY DANCE CAMP,Lanškroun,Pobytový tábor,3. týden (15. 7. 2018 - 22. 7. 2018),x,0,0,,,,,
,#2431,MAŽORETKOVÝ TÁBOR,Lanškroun,Pobytový tábor,7. týden (12. 8. 2018 - 19. 8. 2018),x,3492,21,,4100,2900,37,0
,#2430,MAŽORETKOVÝ TÁBOR,Lanškroun,Příměstský tábor,7. týden (13. 8. 2018 - 18. 8. 2018),x,1804,6,,2100,1500,19,0
