INFORMATIVNÍ ČÁST,,INFORMATIVNÍ ČÁST,,,,,,EDITOVATELNÁ ČÁST,,,,
id,,místo odjezdu / příjezdu,směr,termín,lokalita ,volná místa,,aktuální cena,základní cena,počáteční cena,týdenní navýšení,celková kapacita
#14515,SPOLEČNÁ DOPRAVA,Hranice na Moravě,Tam i zpět,2. týden (9. 7. 2023 - 15. 7. 2023),RC Lanwood - Lanškroun,100,,560,560,560,0,100
#14516,SPOLEČNÁ DOPRAVA,Hranice na Moravě,Tam i zpět,3. týden (16. 7. 2023 - 22. 7. 2023),RC Lanwood - Lanškroun,100,,560,560,560,0,100
#14517,SPOLEČNÁ DOPRAVA,Hranice na Moravě,Tam i zpět,4. týden (23. 7. 2023 - 29. 7. 2023),RC Lanwood - Lanškroun,100,,560,560,560,0,100
#14518,SPOLEČNÁ DOPRAVA,Hranice na Moravě,Tam i zpět,5. týden (30. 7. 2023 - 5. 8. 2023),RC Lanwood - Lanškroun,100,,560,560,560,0,100
#14519,SPOLEČNÁ DOPRAVA,Hranice na Moravě,Tam i zpět,6. týden (6. 8. 2023 - 12. 8. 2023),RC Lanwood - Lanškroun,100,,560,560,560,0,100
#14520,SPOLEČNÁ DOPRAVA,Hranice na Moravě,Tam i zpět,7. týden (13. 8. 2023 - 19. 8. 2023),RC Lanwood - Lanškroun,100,,560,560,560,0,100
#14521,SPOLEČNÁ DOPRAVA,Hranice na Moravě,Tam i zpět,8. týden (20. 8. 2023 - 26. 8. 2023),RC Lanwood - Lanškroun,100,,560,560,560,0,100
#14522,SPOLEČNÁ DOPRAVA,Hranice na Moravě,Tam i zpět,9. týden (27. 8. 2023 - 1. 9. 2023),RC Lanwood - Lanškroun,100,,560,560,560,0,100
#14523,SPOLEČNÁ DOPRAVA,Kolín,Do tábora,1. týden (2. 7. 2023 - 8. 7. 2023),RC Lanwood - Lanškroun,100,,242,242,242,0,100
#14524,SPOLEČNÁ DOPRAVA,Kolín,Do tábora,2. týden (9. 7. 2023 - 15. 7. 2023),RC Lanwood - Lanškroun,100,,242,242,242,0,100
#14525,SPOLEČNÁ DOPRAVA,Kolín,Do tábora,3. týden (16. 7. 2023 - 22. 7. 2023),RC Lanwood - Lanškroun,100,,242,242,242,0,100
#14526,SPOLEČNÁ DOPRAVA,Kolín,Do tábora,4. týden (23. 7. 2023 - 29. 7. 2023),RC Lanwood - Lanškroun,100,,242,242,242,0,100
#14527,SPOLEČNÁ DOPRAVA,Kolín,Do tábora,5. týden (30. 7. 2023 - 5. 8. 2023),RC Lanwood - Lanškroun,100,,242,242,242,0,100
#14528,SPOLEČNÁ DOPRAVA,Kolín,Do tábora,6. týden (6. 8. 2023 - 12. 8. 2023),RC Lanwood - Lanškroun,100,,242,242,242,0,100
#14529,SPOLEČNÁ DOPRAVA,Kolín,Do tábora,7. týden (13. 8. 2023 - 19. 8. 2023),RC Lanwood - Lanškroun,100,,242,242,242,0,100
#14530,SPOLEČNÁ DOPRAVA,Kolín,Do tábora,8. týden (20. 8. 2023 - 26. 8. 2023),RC Lanwood - Lanškroun,100,,242,242,242,0,100
#14531,SPOLEČNÁ DOPRAVA,Kolín,Do tábora,9. týden (27. 8. 2023 - 1. 9. 2023),RC Lanwood - Lanškroun,100,,242,242,242,0,100
#14532,SPOLEČNÁ DOPRAVA,Kolín,Z tábora,1. týden (2. 7. 2023 - 8. 7. 2023),RC Lanwood - Lanškroun,100,,242,242,242,0,100
#14533,SPOLEČNÁ DOPRAVA,Kolín,Z tábora,2. týden (9. 7. 2023 - 15. 7. 2023),RC Lanwood - Lanškroun,100,,242,242,242,0,100
#14534,SPOLEČNÁ DOPRAVA,Kolín,Z tábora,3. týden (16. 7. 2023 - 22. 7. 2023),RC Lanwood - Lanškroun,100,,242,242,242,0,100
#14535,SPOLEČNÁ DOPRAVA,Kolín,Z tábora,4. týden (23. 7. 2023 - 29. 7. 2023),RC Lanwood - Lanškroun,100,,242,242,242,0,100
#14536,SPOLEČNÁ DOPRAVA,Kolín,Z tábora,5. týden (30. 7. 2023 - 5. 8. 2023),RC Lanwood - Lanškroun,100,,242,242,242,0,100
#14537,SPOLEČNÁ DOPRAVA,Kolín,Z tábora,6. týden (6. 8. 2023 - 12. 8. 2023),RC Lanwood - Lanškroun,100,,242,242,242,0,100
