INFORMATIVNÍ ČÁST,,INFORMATIVNÍ ČÁST,,,,,,EDITOVATELNÁ ČÁST,,,,
id,,místo odjezdu / příjezdu,směr,termín,lokalita ,volná místa,,aktuální cena,základní cena,počáteční cena,týdenní navýšení,celková kapacita
#14444,SPOLEČNÁ DOPRAVA,Olomouc,Do tábora,3. týden (16. 7. 2023 - 22. 7. 2023),RC Lanwood - Lanškroun,100,,224,224,224,0,100
#14445,SPOLEČNÁ DOPRAVA,Olomouc,Do tábora,4. týden (23. 7. 2023 - 29. 7. 2023),RC Lanwood - Lanškroun,100,,224,224,224,0,100
#14446,SPOLEČNÁ DOPRAVA,Olomouc,Do tábora,5. týden (30. 7. 2023 - 5. 8. 2023),RC Lanwood - Lanškroun,100,,224,224,224,0,100
#14447,SPOLEČNÁ DOPRAVA,Olomouc,Do tábora,6. týden (6. 8. 2023 - 12. 8. 2023),RC Lanwood - Lanškroun,100,,224,224,224,0,100
#14448,SPOLEČNÁ DOPRAVA,Olomouc,Do tábora,7. týden (13. 8. 2023 - 19. 8. 2023),RC Lanwood - Lanškroun,100,,224,224,224,0,100
#14449,SPOLEČNÁ DOPRAVA,Olomouc,Do tábora,8. týden (20. 8. 2023 - 26. 8. 2023),RC Lanwood - Lanškroun,100,,224,224,224,0,100
#14450,SPOLEČNÁ DOPRAVA,Olomouc,Do tábora,9. týden (27. 8. 2023 - 1. 9. 2023),RC Lanwood - Lanškroun,100,,224,224,224,0,100
#14451,SPOLEČNÁ DOPRAVA,Olomouc,Z tábora,1. týden (2. 7. 2023 - 8. 7. 2023),RC Lanwood - Lanškroun,100,,224,224,224,0,100
#14452,SPOLEČNÁ DOPRAVA,Olomouc,Z tábora,2. týden (9. 7. 2023 - 15. 7. 2023),RC Lanwood - Lanškroun,100,,224,224,224,0,100
#14453,SPOLEČNÁ DOPRAVA,Olomouc,Z tábora,3. týden (16. 7. 2023 - 22. 7. 2023),RC Lanwood - Lanškroun,100,,224,224,224,0,100
#14454,SPOLEČNÁ DOPRAVA,Olomouc,Z tábora,4. týden (23. 7. 2023 - 29. 7. 2023),RC Lanwood - Lanškroun,100,,224,224,224,0,100
#14455,SPOLEČNÁ DOPRAVA,Olomouc,Z tábora,5. týden (30. 7. 2023 - 5. 8. 2023),RC Lanwood - Lanškroun,100,,224,224,224,0,100
#14456,SPOLEČNÁ DOPRAVA,Olomouc,Z tábora,6. týden (6. 8. 2023 - 12. 8. 2023),RC Lanwood - Lanškroun,100,,224,224,224,0,100
#14361,SPOLEČNÁ DOPRAVA,Praha,Do tábora,1. týden (2. 7. 2023 - 8. 7. 2023),RC Lanwood - Lanškroun,99,,310,310,310,0,100
#14362,SPOLEČNÁ DOPRAVA,Praha,Do tábora,2. týden (9. 7. 2023 - 15. 7. 2023),RC Lanwood - Lanškroun,100,,310,310,310,0,100
#14363,SPOLEČNÁ DOPRAVA,Praha,Do tábora,3. týden (16. 7. 2023 - 22. 7. 2023),RC Lanwood - Lanškroun,100,,310,310,310,0,100
#14364,SPOLEČNÁ DOPRAVA,Praha,Do tábora,4. týden (23. 7. 2023 - 29. 7. 2023),RC Lanwood - Lanškroun,100,,310,310,310,0,100
#14365,SPOLEČNÁ DOPRAVA,Praha,Do tábora,5. týden (30. 7. 2023 - 5. 8. 2023),RC Lanwood - Lanškroun,100,,310,310,310,0,100
#14366,SPOLEČNÁ DOPRAVA,Praha,Do tábora,6. týden (6. 8. 2023 - 12. 8. 2023),RC Lanwood - Lanškroun,99,,310,310,310,0,100
#14367,SPOLEČNÁ DOPRAVA,Praha,Do tábora,7. týden (13. 8. 2023 - 19. 8. 2023),RC Lanwood - Lanškroun,100,,310,310,310,0,100
#14368,SPOLEČNÁ DOPRAVA,Praha,Do tábora,8. týden (20. 8. 2023 - 26. 8. 2023),RC Lanwood - Lanškroun,100,,310,310,310,0,100
#14369,SPOLEČNÁ DOPRAVA,Praha,Do tábora,9. týden (27. 8. 2023 - 1. 9. 2023),RC Lanwood - Lanškroun,100,,310,310,310,0,100
#14370,SPOLEČNÁ DOPRAVA,Praha,Z tábora,1. týden (2. 7. 2023 - 8. 7. 2023),RC Lanwood - Lanškroun,100,,310,310,310,0,100
#14371,SPOLEČNÁ DOPRAVA,Praha,Z tábora,2. týden (9. 7. 2023 - 15. 7. 2023),RC Lanwood - Lanškroun,99,,310,310,310,0,100
#14372,SPOLEČNÁ DOPRAVA,Praha,Z tábora,3. týden (16. 7. 2023 - 22. 7. 2023),RC Lanwood - Lanškroun,100,,310,310,310,0,100
#14373,SPOLEČNÁ DOPRAVA,Praha,Z tábora,4. týden (23. 7. 2023 - 29. 7. 2023),RC Lanwood - Lanškroun,100,,310,310,310,0,100
#14374,SPOLEČNÁ DOPRAVA,Praha,Z tábora,5. týden (30. 7. 2023 - 5. 8. 2023),RC Lanwood - Lanškroun,100,,310,310,310,0,100
#14407,SPOLEČNÁ DOPRAVA,Brno,Tam i zpět,2. týden (9. 7. 2023 - 15. 7. 2023),RC Lanwood - Lanškroun,99,,498,498,498,0,100
#14375,SPOLEČNÁ DOPRAVA,Praha,Z tábora,6. týden (6. 8. 2023 - 12. 8. 2023),RC Lanwood - Lanškroun,100,,310,310,310,0,100
#14408,SPOLEČNÁ DOPRAVA,Brno,Tam i zpět,3. týden (16. 7. 2023 - 22. 7. 2023),RC Lanwood - Lanškroun,100,,498,498,498,0,100
#14376,SPOLEČNÁ DOPRAVA,Praha,Z tábora,7. týden (13. 8. 2023 - 19. 8. 2023),RC Lanwood - Lanškroun,100,,310,310,310,0,100
#14409,SPOLEČNÁ DOPRAVA,Brno,Tam i zpět,4. týden (23. 7. 2023 - 29. 7. 2023),RC Lanwood - Lanškroun,97,,498,498,498,0,100
#14377,SPOLEČNÁ DOPRAVA,Praha,Z tábora,8. týden (20. 8. 2023 - 26. 8. 2023),RC Lanwood - Lanškroun,100,,310,310,310,0,100
#14410,SPOLEČNÁ DOPRAVA,Brno,Tam i zpět,5. týden (30. 7. 2023 - 5. 8. 2023),RC Lanwood - Lanškroun,100,,498,498,498,0,100
#14378,SPOLEČNÁ DOPRAVA,Praha,Z tábora,9. týden (27. 8. 2023 - 1. 9. 2023),RC Lanwood - Lanškroun,100,,310,310,310,0,100
#14411,SPOLEČNÁ DOPRAVA,Brno,Tam i zpět,6. týden (6. 8. 2023 - 12. 8. 2023),RC Lanwood - Lanškroun,99,,498,498,498,0,100
#14379,SPOLEČNÁ DOPRAVA,Praha,Tam i zpět,1. týden (2. 7. 2023 - 8. 7. 2023),RC Lanwood - Lanškroun,97,,620,620,620,0,100
#14412,SPOLEČNÁ DOPRAVA,Brno,Tam i zpět,7. týden (13. 8. 2023 - 19. 8. 2023),RC Lanwood - Lanškroun,100,,498,498,498,0,100
#14380,SPOLEČNÁ DOPRAVA,Praha,Tam i zpět,2. týden (9. 7. 2023 - 15. 7. 2023),RC Lanwood - Lanškroun,96,,620,620,620,0,100
#14413,SPOLEČNÁ DOPRAVA,Brno,Tam i zpět,8. týden (20. 8. 2023 - 26. 8. 2023),RC Lanwood - Lanškroun,98,,498,498,498,0,100
#14381,SPOLEČNÁ DOPRAVA,Praha,Tam i zpět,3. týden (16. 7. 2023 - 22. 7. 2023),RC Lanwood - Lanškroun,94,,620,620,620,0,100
#14414,SPOLEČNÁ DOPRAVA,Brno,Tam i zpět,9. týden (27. 8. 2023 - 1. 9. 2023),RC Lanwood - Lanškroun,100,,498,498,498,0,100
#14382,SPOLEČNÁ DOPRAVA,Praha,Tam i zpět,4. týden (23. 7. 2023 - 29. 7. 2023),RC Lanwood - Lanškroun,96,,620,620,620,0,100
#14383,SPOLEČNÁ DOPRAVA,Praha,Tam i zpět,5. týden (30. 7. 2023 - 5. 8. 2023),RC Lanwood - Lanškroun,95,,620,620,620,0,100
#14384,SPOLEČNÁ DOPRAVA,Praha,Tam i zpět,6. týden (6. 8. 2023 - 12. 8. 2023),RC Lanwood - Lanškroun,96,,620,620,620,0,100
#14385,SPOLEČNÁ DOPRAVA,Praha,Tam i zpět,7. týden (13. 8. 2023 - 19. 8. 2023),RC Lanwood - Lanškroun,92,,620,620,620,0,100
#14386,SPOLEČNÁ DOPRAVA,Praha,Tam i zpět,8. týden (20. 8. 2023 - 26. 8. 2023),RC Lanwood - Lanškroun,97,,620,620,620,0,100
#14387,SPOLEČNÁ DOPRAVA,Praha,Tam i zpět,9. týden (27. 8. 2023 - 1. 9. 2023),RC Lanwood - Lanškroun,96,,620,620,620,0,100
#14391,SPOLEČNÁ DOPRAVA,Brno,Do tábora,4. týden (23. 7. 2023 - 29. 7. 2023),RC Lanwood - Lanškroun,100,,249,249,249,0,100
#14392,SPOLEČNÁ DOPRAVA,Brno,Do tábora,5. týden (30. 7. 2023 - 5. 8. 2023),RC Lanwood - Lanškroun,100,,249,249,249,0,100
#14393,SPOLEČNÁ DOPRAVA,Brno,Do tábora,6. týden (6. 8. 2023 - 12. 8. 2023),RC Lanwood - Lanškroun,100,,249,249,249,0,100
#14394,SPOLEČNÁ DOPRAVA,Brno,Do tábora,7. týden (13. 8. 2023 - 19. 8. 2023),RC Lanwood - Lanškroun,100,,249,249,249,0,100
#14395,SPOLEČNÁ DOPRAVA,Brno,Do tábora,8. týden (20. 8. 2023 - 26. 8. 2023),RC Lanwood - Lanškroun,100,,249,249,249,0,100
#14396,SPOLEČNÁ DOPRAVA,Brno,Do tábora,9. týden (27. 8. 2023 - 1. 9. 2023),RC Lanwood - Lanškroun,100,,249,249,249,0,100
#14397,SPOLEČNÁ DOPRAVA,Brno,Z tábora,1. týden (2. 7. 2023 - 8. 7. 2023),RC Lanwood - Lanškroun,100,,249,249,249,0,100
#14398,SPOLEČNÁ DOPRAVA,Brno,Z tábora,2. týden (9. 7. 2023 - 15. 7. 2023),RC Lanwood - Lanškroun,100,,249,249,249,0,100
#14399,SPOLEČNÁ DOPRAVA,Brno,Z tábora,3. týden (16. 7. 2023 - 22. 7. 2023),RC Lanwood - Lanškroun,100,,249,249,249,0,100
#14400,SPOLEČNÁ DOPRAVA,Brno,Z tábora,4. týden (23. 7. 2023 - 29. 7. 2023),RC Lanwood - Lanškroun,100,,249,249,249,0,100
#14401,SPOLEČNÁ DOPRAVA,Brno,Z tábora,5. týden (30. 7. 2023 - 5. 8. 2023),RC Lanwood - Lanškroun,100,,249,249,249,0,100
#14402,SPOLEČNÁ DOPRAVA,Brno,Z tábora,6. týden (6. 8. 2023 - 12. 8. 2023),RC Lanwood - Lanškroun,100,,249,249,249,0,100
#14403,SPOLEČNÁ DOPRAVA,Brno,Z tábora,7. týden (13. 8. 2023 - 19. 8. 2023),RC Lanwood - Lanškroun,100,,249,249,249,0,100
#14404,SPOLEČNÁ DOPRAVA,Brno,Z tábora,8. týden (20. 8. 2023 - 26. 8. 2023),RC Lanwood - Lanškroun,100,,249,249,249,0,100
#14405,SPOLEČNÁ DOPRAVA,Brno,Z tábora,9. týden (27. 8. 2023 - 1. 9. 2023),RC Lanwood - Lanškroun,100,,249,249,249,0,100
#14406,SPOLEČNÁ DOPRAVA,Brno,Tam i zpět,1. týden (2. 7. 2023 - 8. 7. 2023),RC Lanwood - Lanškroun,100,,498,498,498,0,100
#14388,SPOLEČNÁ DOPRAVA,Brno,Do tábora,1. týden (2. 7. 2023 - 8. 7. 2023),RC Lanwood - Lanškroun,100,,249,249,249,0,100
#14389,SPOLEČNÁ DOPRAVA,Brno,Do tábora,2. týden (9. 7. 2023 - 15. 7. 2023),RC Lanwood - Lanškroun,100,,249,249,249,0,100
#14390,SPOLEČNÁ DOPRAVA,Brno,Do tábora,3. týden (16. 7. 2023 - 22. 7. 2023),RC Lanwood - Lanškroun,99,,249,249,249,0,100
